taxonBat	log_mass	int_length_mass	log_total_enterocytes	nsa_mass	vill_area_mass
0	0.009621946712094561	0.7275689627637099	0.06081586295535431	0.08755468108361608	0.7163368610803175
0	0.06638258518894152	0.5014823749691194	0.01919735701715017	0.13108197549217784	1.7349088637637018
0	0.13993437381509513	0.236861673027724	0.04251232229743453	0.09634334514649678	1.362456011431982
0	0.045098604517356464	0.20254443861130647	0.06413087338232465	0.06667044236710198	0.5807958932897844
0	0.07124157898577022	0.2292751869386756	0.13611583430899418	0.10831986183012544	1.3562289085963495
0	0.1978928938154563	0.7449122602895208	0.1843215177593217	0.1446849510823189	0.6654383747895045
0	0.10433627886791362	0.4252582401218341	0.09798214971059623	0.10911180996395616	0.9377904382651846
0	0.03606490422773478	0.2566197218565507	0.099624573207516	0.11350125112960549	0.5767604283909267
0	0.09604091285982698	0.3662762840918957	0.08391324962534816	0.07029213641670227	0.970664675899104
0	0.10119837189169208	0.3343988654548614	0.2194170834707376	0.08702693521511846	1.0727398935410957
0	0.10433627886791362	0.4252582401218341	0.09798214971059623	0.10911180996395616	0.9377904382651846
0	0.05400476508130678	0.2521151491880414	0.0801169053073855	0.09942676305749211	1.38309282359973
0	0.18253848139651505	0.1710973650630141	0.041997845164122624	0.08179562323902215	1.116808165769208
0	0.4409529712482651	0.013388347666602128	0.21278145110219346	0.03377656889269737	0.9377904382651846
0	0.032753761870257914	0.24498200212083343	0.02628038972287032	0.1077070876074013	0.4706942205074743
0	0.12003036755983397	1.2740658432892513	0.10224299643017608	0.26785017723084525	0.11837098959033465
0	0.039201362317147326	0.15914637433352985	0.12045817749747999	0.06524474137435016	1.3378221918877804
0	0.03642258039932372	1.0893969922847098	0.07378795612113039	0.1845124182582268	0.6037382718404753
